Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date GMT+0
BTCUSDT,1591574400000,9746.99,9800.0,9633.0,9782.01,40664.664125,1591660799999,395459395.8213373,485139,19744.039124,192037951.04548973,0,2020-06-08
ETHUSDT,1591574400000,244.57,247.7,240.59,246.4,383116.54719,1591660799999,93355224.9683087,159981,193451.07601,47159340.9686437,0,2020-06-08
BNBUSDT,1591574400000,17.4134,17.5454,17.2594,17.4489,1657535.11,1591660799999,28825851.386571,56439,551803.33,9610058.123437,0,2020-06-08
NEOUSDT,1591574400000,11.773,11.82,11.501,11.656,203374.443,1591660799999,2372575.639366,9299,93905.65,1096534.79068,0,2020-06-08
LTCUSDT,1591574400000,46.6,46.79,45.95,46.43,220499.06993,1591660799999,10227376.4431033,38235,112447.761,5217825.9716925,0,2020-06-08
QTUMUSDT,1591574400000,1.807,1.837,1.797,1.825,1101220.674,1591660799999,1999699.211461,8724,537661.672,976227.811775,0,2020-06-08
ADAUSDT,1591574400000,0.08655,0.08695,0.08458,0.08648,216779869.4,1591660799999,18595514.825131,63274,109176598.4,9368060.024413,0,2020-06-08
XRPUSDT,1591574400000,0.20327,0.20444,0.20116,0.20403,63036054.2,1591660799999,12767362.010578,35188,31158704.4,6312355.704409,0,2020-06-08
EOSUSDT,1591574400000,2.8101,2.8174,2.7521,2.7878,5806942.68,1591660799999,16159791.67161,52158,2508649.3,6982335.95696,0,2020-06-08
TUSDUSDT,1591574400000,0.9995,1.0004,0.9993,0.9996,2479433.24,1591660799999,2479022.049617,3818,1132882.05,1132791.464752,0,2020-06-08
IOTAUSDT,1591574400000,0.2412,0.2431,0.2371,0.2415,4069973.08,1591660799999,978965.423651,4790,2038974.37,490583.177865,0,2020-06-08
XLMUSDT,1591574400000,0.07881,0.08037,0.07799,0.08006,78942219.0,1591660799999,6261889.742075,25268,39543786.7,3137651.937997,0,2020-06-08
ONTUSDT,1591574400000,0.5732,0.5793,0.5656,0.5744,5357787.61,1591660799999,3069183.490161,13278,2549163.24,1460943.578799,0,2020-06-08
TRXUSDT,1591574400000,0.01819,0.01862,0.01773,0.01794,1258883594.1,1591660799999,22825814.490161,49098,638084357.0,11571103.601277,0,2020-06-08
ETCUSDT,1591574400000,6.8336,6.9334,6.7323,6.9004,810045.22,1591660799999,5521645.95697,23058,400780.21,2733965.937712,0,2020-06-08
ICXUSDT,1591574400000,0.334,0.3352,0.3283,0.335,2137139.79,1591660799999,709817.008267,2753,1011834.24,336159.137099,0,2020-06-08
NULSUSDT,1591574400000,0.3354,0.3762,0.3316,0.3516,1461836.85,1591660799999,518636.290419,4100,541271.75,192492.338614,0,2020-06-08
VETUSDT,1591574400000,0.007245,0.007815,0.007165,0.007787,1875149178.0,1591660799999,14065616.726245,43958,898910513.0,6740197.848092,0,2020-06-08
PAXUSDT,1591574400000,0.9996,1.0005,0.9991,0.9993,3047186.88,1591660799999,3046694.697158,3364,1416636.74,1416528.302432,0,2020-06-08
USDCUSDT,1591574400000,0.9994,1.0016,0.9986,0.9995,8651475.56,1591660799999,8649522.536837,13330,3747052.28,3746814.165481,0,2020-06-08
